,370,acusación,acusado,además,agosto,alzada,antecedentes,análisis,apelación,aplicable,aplicación,art,arts,así,auto,autos,años,base,bien,cada,casación,caso,comisión,conducta,conforme,consecuencia,considerando,constitucional,contradicción,contradictorio,corresponde,cp,cpp,cuanto,cuenta,cumplimiento,código,debe,debido,decir,declaró,defecto,defectos,defectuosa,defensa,delito,delitos,dentro,denuncia,departamental,derecho,derechos,doctrina,efecto,elementos,ello,embargo,errónea,establece,establecido,existe,existencia,fallo,falta,forma,fs,fundamentación,haber,hecho,hechos,homicidio,impugnado,imputado,inc,judicial,juez,juicio,jurídica,justicia,legal,lesiones,ley,manera,marzo,mayo,mediante,ministerio,misma,mismo,momento,motivo,motivos,norma,normas,nº,octubre,oral,parte,partes,particular,pena,penal,persona,precedente,precedentes,presente,previsto,principio,procedimiento,procesal,procesales,proceso,prueba,pruebas,puede,pues,público,recurrente,recurso,recursos,refiere,relación,requisitos,resolución,respecto,restringida,sala,segundo,sentencia,ser,señala,si,sido,siendo,siguientes,sino,situación,supremo,supremos,sustantiva,tiempo,tipo,toda,tribunal,tribunales,valoración,vez,vista,vta,víctima
370,0,30070,22218,26641,15955,80892,17626,29516,97309,17552,45974,150961,44018,34412,147009,27268,18018,19858,26338,21754,53706,53790,24234,33093,33033,20491,10916,14247,31174,16877,17016,52415,98884,27509,25996,13682,28113,44231,57190,26958,12842,46633,20541,18908,29223,80727,36266,22950,37418,11975,65723,24117,36399,18877,25035,27764,22545,23752,17463,17938,15612,21968,24850,29580,33558,29135,69864,23249,72261,68629,12779,29376,35428,42555,24620,25860,60211,20692,40510,48941,38580,46697,46895,12988,19310,11212,17845,19167,29187,16875,63451,22963,28682,21151,8239,11687,16054,61800,18827,14406,48767,125315,32116,28977,25304,43826,32044,38145,24471,20190,14621,84831,96289,32477,27283,23773,23228,56304,104690,17191,17990,58578,19189,53692,46652,50461,32697,17231,208181,54848,19266,56742,21975,25924,10108,26807,15218,64511,15585,19991,23327,36743,15821,218796,15234,43395,16549,91982,12518,18332
acusación,30070,0,39360,56113,36654,162451,29765,51711,184930,32137,73798,280412,80065,80876,276167,47027,42151,38320,58967,40424,73014,109550,52586,71218,59631,40516,9683,32413,54412,27866,32996,119350,168397,48116,51016,26178,39998,86964,144123,63490,18418,89134,28406,40189,67413,190664,96793,38446,79612,12071,146656,50191,69240,26353,48050,75042,57737,35927,26933,35785,27209,35639,44705,57606,73175,64547,103769,64339,153507,174580,14075,51765,67246,62622,39689,47598,103960,34327,53717,93686,124578,70071,102907,20275,61519,27772,36759,39432,65068,30008,160374,40823,60613,44026,9403,22296,24284,115846,30475,27918,99286,234608,98911,54262,38572,99145,43082,79522,36298,42234,24280,204500,159977,60234,65354,54183,43526,97593,172354,25691,29896,132860,41186,87854,78709,90782,50251,38873,420633,116002,37513,133790,53209,51558,13220,69092,24908,99180,27322,29580,58454,82314,19181,403215,19059,67448,26272,166706,25929,21296
acusado,22218,39360,0,32727,19283,95042,18988,33910,110359,19935,52777,160962,44521,42283,161773,28826,23747,23471,31004,23299,54001,62630,28695,44096,36488,24323,11482,16952,33072,16893,20173,62556,97485,32400,29169,13634,29550,51932,66641,32400,14129,45610,16852,19138,32303,104016,45619,25759,42053,12154,74576,26357,41005,22526,30869,35896,26098,27874,18145,20356,16411,23459,30034,34032,38748,32726,73426,29421,89262,89436,13957,31623,53920,38206,25140,29528,68542,24791,41871,56066,48940,53787,55674,16227,25293,12786,21482,22276,36279,19417,75373,25169,32844,23720,7085,11527,16814,69160,20598,17063,60644,146488,43171,28999,24180,50851,29577,43688,26160,22088,15551,101119,111339,36458,33109,27470,27728,59534,109542,19207,19408,68799,18594,58582,51864,55607,34891,20172,240131,65100,20416,68349,27851,29825,9648,35642,17918,69386,16333,24050,26783,46447,18269,255491,15974,47557,20525,98852,14357,30541
además,26641,56113,32727,0,26761,131663,25308,44740,150978,25401,64786,222879,62753,63035,219794,40451,32885,32080,43265,33900,72769,89241,40426,60091,50705,33197,11511,24964,44308,23945,26023,89725,132196,41300,40677,20547,40427,71313,99465,47126,17325,65999,24512,29493,44806,140847,67959,33303,59626,13558,107379,39338,53457,24877,41893,52797,39878,31719,24596,27219,21678,33030,37313,46803,59196,50036,96578,45918,117913,127085,15122,44246,61491,48897,35969,41754,85113,30668,54152,73442,82961,65484,81877,18686,43010,19460,30236,30549,50861,25832,111102,35001,47499,34666,11338,17421,20925,93601,27340,21271,82254,197225,65732,42830,34314,72789,37199,60532,37027,35054,21982,148420,140592,48561,47848,42569,37154,79022,150274,24775,24102,97988,29938,77937,71677,74595,46776,29688,327088,92689,27966,97938,37397,43034,13162,55080,22680,88357,22457,26796,41596,62010,21337,342067,20115,62930,25919,135569,20613,25074
agosto,15955,36654,19283,26761,0,80878,17962,28057,96219,16700,39081,146310,45506,36767,165102,32682,22488,17668,28835,19735,52701,57455,25576,34776,31771,20948,7201,19053,32680,18667,17670,56665,88588,24575,25990,16228,26350,43975,71027,30914,10864,45166,18133,22470,32059,91311,46146,21823,42169,8319,71366,29240,35770,15652,22152,35024,28528,20384,16130,19244,15539,20167,23437,30252,36382,47675,55064,29239,70607,73757,10236,31912,28950,33994,24216,24449,52233,16025,39210,49538,55237,42418,48900,13860,29976,18770,21644,18998,32937,15145,77542,21635,30083,22870,10477,15417,13298,63506,15864,13244,48798,130491,45053,33853,27179,52388,25416,37155,25154,25249,14854,104105,84449,30016,31321,26492,25901,59741,108088,15023,17188,66086,25809,50246,42601,49267,31979,20347,205853,58313,21233,64002,25098,25644,9179,30184,15626,64231,19188,15853,31204,40552,11234,209512,12768,34725,14667,99236,18559,12540
alzada,80892,162451,95042,131663,80878,0,71444,128640,446108,78158,191787,648859,185807,177526,651016,119490,90604,89663,128250,96427,200430,247193,117027,167723,141324,95242,31233,66709,133984,70055,78274,267021,395166,118255,117106,61219,104841,201865,310200,138380,49685,206135,73974,87577,133507,416472,198680,92891,186987,37478,313294,110505,164849,72476,117863,159247,122977,97877,67220,80531,64330,93752,109079,141116,166949,116360,281044,136904,341289,368413,42368,131091,163693,149906,95534,114386,248719,84581,143048,223086,252092,182548,238815,50874,119881,46943,82018,86868,145001,71289,350994,103380,138023,100927,25205,49150,56942,273504,73009,58755,244463,546577,201098,129415,101274,216599,108342,172428,97388,83717,59957,426443,421380,143545,141009,121336,101559,240936,428606,68606,71163,290978,92694,224036,200463,220882,126936,89166,960887,262277,84694,293509,110452,123095,34882,151447,67934,259283,70002,79581,124234,185942,56373,1009033,55679,186835,68521,406934,50535,60479
antecedentes,17626,29765,18988,25308,17962,71444,0,27658,89086,15335,38655,139979,41848,33298,148097,28876,22289,17290,25512,18566,60160,53584,24494,30635,31952,19837,10395,15196,29772,17298,16854,50309,82044,24689,24733,15307,31811,41447,55501,26214,12003,38842,17420,18522,27301,81440,38125,22002,35355,10995,63522,26310,32152,16400,21305,28567,22646,19275,17394,17919,14344,20372,21967,27531,33124,44389,56220,24082,66644,63299,14338,29471,33321,32289,25833,24672,49841,16717,45275,45739,42015,44518,42548,13483,22844,15801,21490,17305,29675,15801,60774,20563,27594,21465,12177,12886,13953,60320,17411,13378,52294,130133,35019,30278,25255,45523,26312,33699,27812,24059,16073,88103,81101,26826,26732,24176,25873,56109,113325,16390,15268,55410,22431,49344,40780,47401,35721,18109,186842,54234,17434,54517,21863,23057,11121,27072,14589,62892,15642,15814,26121,34249,13460,201487,14581,34962,15718,91856,17301,16438
análisis,29516,51711,33910,44740,28057,128640,27658,0,153598,26721,68820,228533,64603,58995,238445,44003,34260,32092,42687,32752,85418,90453,39803,56676,52847,34336,14071,26191,46840,26267,28033,85191,139493,42599,41710,22265,43032,72947,94769,44874,19309,64248,26385,31032,44405,135800,64565,35104,59227,16970,106201,41467,54972,28491,41044,49128,37969,33565,28047,28475,23632,34587,37744,47006,56694,63780,99496,42031,117335,116559,19678,46682,61494,53014,39782,43852,90254,31390,64545,75791,71899,70852,77011,21877,39907,25057,32738,30660,49631,26367,104127,35117,46994,33303,12821,20130,23208,97920,28810,22411,81666,206025,58188,45239,37820,73668,41905,60735,38550,39708,23964,147513,146719,46791,46721,40546,40375,86009,166689,26456,25966,96151,31544,82933,73355,77406,52547,29409,324534,92826,30062,93890,36236,43182,15106,49451,24687,100277,24996,27845,41329,60256,22944,350575,23337,66159,26259,143967,25948,28512
apelación,97309,184930,110359,150978,96219,446108,89086,153598,0,89848,224475,773417,218726,201681,809029,148058,108561,104040,144420,112401,275778,299822,134243,182964,173178,112912,41078,86460,159299,89738,91082,289242,473382,137806,136390,75412,142263,241218,343982,156477,60852,231759,93685,107608,154913,463150,218959,115102,208004,52364,370075,140812,191287,88919,132130,175208,135965,109524,87108,96872,76329,112305,125103,161915,194419,200494,324516,149261,388016,406167,61373,159407,194422,177811,128930,136554,298472,100368,203390,259585,264231,227436,270069,69798,142546,78032,108748,103687,170262,84072,382804,124997,161788,116197,40759,67685,74706,327230,91585,73899,264737,675782,212666,157254,127606,250934,137639,204950,133206,128269,79090,506989,479443,159908,158927,141705,131656,295233,573105,85032,86120,328352,113545,279871,237562,280980,170969,101941,1098953,309732,102449,324960,126130,142868,49280,169809,79613,326958,84850,89997,145504,203546,70925,1181042,74116,213018,83386,494764,80354,80610
aplicable,17552,32137,19935,25401,16700,78158,15335,26721,89848,0,41238,134146,37837,34988,138802,25531,18640,18627,26022,19771,44533,52783,23620,33847,30018,19291,8303,14626,27931,14892,15751,51244,78979,24794,23537,12727,27465,42943,57934,27047,10699,39976,14928,17284,25860,83602,39545,20357,34921,9051,62287,22377,37616,16905,23465,29711,23149,20075,14661,16619,13667,19525,22385,28002,31740,27724,58129,25362,68877,70833,11324,26847,34726,30389,21333,24462,52235,18417,33913,49111,44753,41167,45316,11612,22019,11054,16907,18389,28922,14533,63692,20480,27605,19880,8823,10921,12899,56929,16888,12933,48946,122186,36571,26575,21195,43443,23939,36572,23713,18696,12940,85086,84630,28036,28222,23749,21613,47759,90824,14077,15108,56697,16982,48389,40511,44733,29104,17273,192353,53471,17268,56557,21718,24353,8092,28534,14411,59861,14463,16873,23214,37757,13223,203432,13402,38179,14918,84349,11744,14520
